experiment,metric,baseline,p_value,significant
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[10.0, 2.5]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 10.0]",acc,full_information,0.5,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 10.0]",acc,popularity,0.234375,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 10.0]",acc,simple_markov,0.384765625,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 10.0]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 2.5]",acc,full_information,0.98828125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 2.5]",acc,popularity,0.78125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 2.5]",acc,simple_markov,0.013671875,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 2.5]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 5.0]",acc,full_information,0.990234375,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 5.0]",acc,popularity,0.15625,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 5.0]",acc,simple_markov,0.2158203125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 5.0]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[5.0, 2.5]",acc,full_information,0.890625,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[5.0, 2.5]",acc,popularity,0.578125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[5.0, 2.5]",acc,simple_markov,0.0419921875,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[5.0, 2.5]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,full_information,0.96875,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,popularity,0.5625,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,simple_markov,0.0185546875,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,random,0.001953125,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,full_information,0.8125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,popularity,0.837890625,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,simple_markov,0.673828125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,random,0.001953125,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,full_information,0.7109375,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,popularity,0.59375,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,simple_markov,0.0029296875,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,random,0.0048828125,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,full_information,0.8671875,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,popularity,0.578125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,simple_markov,0.455078125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,full_information,0.1640625,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,popularity,0.375,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,simple_markov,0.013671875,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,random,0.0048828125,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[10.0, 2.5]",acc,full_information,0.9609375,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[10.0, 2.5]",acc,popularity,0.96875,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[10.0, 2.5]",acc,simple_markov,0.0654296875,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[10.0, 2.5]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 10.0]",acc,full_information,0.8642578125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 10.0]",acc,popularity,0.7578125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 10.0]",acc,simple_markov,0.4130859375,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 10.0]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 2.5]",acc,full_information,0.62890625,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 2.5]",acc,popularity,0.47265625,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 2.5]",acc,simple_markov,0.1162109375,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 2.5]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 5.0]",acc,full_information,0.3125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 5.0]",acc,popularity,0.203125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 5.0]",acc,simple_markov,0.013671875,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 5.0]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[5.0, 2.5]",acc,full_information,0.890625,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[5.0, 2.5]",acc,popularity,1.0,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[5.0, 2.5]",acc,simple_markov,0.0029296875,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[5.0, 2.5]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,full_information,0.796875,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,popularity,0.25,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,simple_markov,0.080078125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,random,0.013671875,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,full_information,0.578125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,popularity,0.6875,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,simple_markov,0.26171875,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,random,0.0048828125,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,full_information,0.828125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,popularity,0.5078125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,simple_markov,0.6796875,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,random,0.001953125,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,full_information,0.609375,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,popularity,0.78125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,simple_markov,0.203125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,random,0.001953125,True
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,full_information,0.12109375,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,popularity,0.78125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,simple_markov,0.1376953125,False
"n_students-100_n_skills-5_smoothing-0.3_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,full_information,0.421875,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,popularity,0.96875,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,simple_markov,0.2451171875,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,random,0.0078125,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,full_information,0.625,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,popularity,0.875,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,simple_markov,0.6796875,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,random,0.203125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,full_information,0.208984375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,popularity,0.6875,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,simple_markov,0.2578125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,random,0.0048828125,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,full_information,0.03125,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,popularity,0.25,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,simple_markov,0.0078125,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,random,0.005859375,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,full_information,0.4375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,popularity,0.40625,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,simple_markov,0.39453125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,random,0.001953125,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[10.0, 2.5]",acc,full_information,0.947265625,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[10.0, 2.5]",acc,popularity,0.8359375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[10.0, 2.5]",acc,simple_markov,0.384765625,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[10.0, 2.5]",acc,random,0.0029296875,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 10.0]",acc,full_information,0.9580078125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 10.0]",acc,popularity,0.765625,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 10.0]",acc,simple_markov,0.2548828125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 10.0]",acc,random,0.001953125,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 2.5]",acc,full_information,0.8125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 2.5]",acc,popularity,0.4521484375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 2.5]",acc,simple_markov,0.0185546875,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 2.5]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 5.0]",acc,full_information,0.78125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 5.0]",acc,popularity,0.41796875,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 5.0]",acc,simple_markov,0.0244140625,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[2.5, 5.0]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[5.0, 2.5]",acc,full_information,0.9833984375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[5.0, 2.5]",acc,popularity,0.484375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[5.0, 2.5]",acc,simple_markov,0.2158203125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 10.0]_future_alpha_beta-[5.0, 2.5]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,full_information,0.40625,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,popularity,0.4736328125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,simple_markov,0.0068359375,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,random,0.001953125,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,full_information,0.125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,popularity,0.5625,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,simple_markov,0.037109375,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,random,0.001953125,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,full_information,0.150390625,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,popularity,0.578125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,simple_markov,0.095703125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,full_information,0.578125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,popularity,0.65625,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,simple_markov,0.1328125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,random,0.0029296875,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,full_information,0.9814453125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,popularity,0.9345703125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,simple_markov,0.7216796875,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,random,0.013671875,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[10.0, 2.5]",acc,full_information,0.99609375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[10.0, 2.5]",acc,popularity,0.423828125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[10.0, 2.5]",acc,simple_markov,0.24609375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[10.0, 2.5]",acc,random,0.0185546875,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 10.0]",acc,full_information,0.7314453125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 10.0]",acc,popularity,0.75,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 10.0]",acc,simple_markov,0.3564453125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 10.0]",acc,random,0.0068359375,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 2.5]",acc,full_information,0.9755859375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 2.5]",acc,popularity,0.2158203125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 2.5]",acc,simple_markov,0.1552734375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 2.5]",acc,random,0.009765625,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 5.0]",acc,full_information,0.8330078125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 5.0]",acc,popularity,0.34375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 5.0]",acc,simple_markov,0.1875,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[2.5, 5.0]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[5.0, 2.5]",acc,full_information,0.16796875,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[5.0, 2.5]",acc,popularity,0.234375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[5.0, 2.5]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[2.5, 5.0]_future_alpha_beta-[5.0, 2.5]",acc,random,0.0009765625,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,full_information,0.58984375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,popularity,0.8125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,simple_markov,0.4716796875,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,random,0.0693359375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,full_information,0.923828125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,popularity,0.8984375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,simple_markov,0.65625,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 10.0]",acc,random,0.0546875,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,full_information,0.376953125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,popularity,0.75390625,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,simple_markov,0.615234375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 2.5]",acc,random,0.0244140625,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,full_information,0.486328125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,popularity,0.919921875,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,simple_markov,0.7646484375,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[2.5, 5.0]",acc,random,0.001953125,True
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,full_information,0.203125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,popularity,0.8125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,simple_markov,0.6064453125,False
"n_students-100_n_skills-5_smoothing-0.5_current_alpha_beta-[5.0, 2.5]_future_alpha_beta-[5.0, 2.5]",acc,random,0.001953125,True
"n_students-50_n_skills-10_smoothing-0.1_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,full_information,0.59375,False
"n_students-50_n_skills-10_smoothing-0.1_current_alpha_beta-[10.0, 2.5]_future_alpha_beta-[10.0, 2.5]",acc,popularity,0.75,False
